,author,title,types,price,review,rate,year
121,Steven D. Levitt,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.42</span></span>","2,901",4.7 out of 5 stars,2009
122,Malcolm Gladwell,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.12</span></span>","1,161",4.3 out of 5 stars,2009
123,Francis Chan,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.25</span></span>","2,427",4.6 out of 5 stars,2009
124,Rick Riordan,The Tipping Point: How Little Things Can Make a Big Difference,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.00</span></span>","5,933",4.4 out of 5 stars,2009
125,Muriel Barbery,Crazy Love: Overwhelmed by a Relentless God,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.97</span></span>","1,932",4.7 out of 5 stars,2009
126,James Patterson,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.43</span></span>","15,818",4.8 out of 5 stars,2009
127,Stieg Larsson,The Elegance of the Hedgehog,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$9.09</span></span>","3,610",4.2 out of 5 stars,2009
128,Randy Pausch,"I, Alex Cross",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","3,538",4.6 out of 5 stars,2009
129,Gary Chapman,The Girl Who Played with Fire (Millennium),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.57</span></span>","11,010",4.7 out of 5 stars,2009
130,Alan Moore,The Last Lecture,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","6,095",4.7 out of 5 stars,2009
131,Bill Simmons,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>",867,4.6 out of 5 stars,2009
132,Zhi Gang Sha,Watchmen,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.15</span></span>","8,025",4.8 out of 5 stars,2009
0,Stieg Larsson,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","11,409",4.7 out of 5 stars,2010
1,Stieg Larsson,The Girl with the Dragon Tattoo (Millennium Series),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","15,952",4.5 out of 5 stars,2010
2,George W. Bush,Decision Points,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","2,418",4.6 out of 5 stars,2010
3,Kathryn Stockett,The Help,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.14</span></span>","18,452",4.8 out of 5 stars,2010
4,Stieg Larsson,The Girl Who Played with Fire (Millennium Series),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","11,012",4.7 out of 5 stars,2010
5,Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.11</span></span>","11,051",4.8 out of 5 stars,2010
6,Suzanne Collins,StrengthsFinder 2.0,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.01</span></span>","7,182",4.1 out of 5 stars,2010
7,Geneen Roth,Mockingjay (The Hunger Games),Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.47</span></span>","38,081",4.6 out of 5 stars,2010
8,American Psychological Association,Women Food and God: An Unexpected Path to Almost Everything,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.17</span></span>","2,000",4.4 out of 5 stars,2010
9,Mark Twain,"Publication Manual of the American Psychological Association, 6th Edition",Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.37</span></span>","12,783",4.5 out of 5 stars,2010
10,Michael Lewis,"Autobiography of Mark Twain, Vol. 1",Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.59</span></span>",613,4.4 out of 5 stars,2010
